epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.2786,0.97554,3.84136,1.24136,0.59125,0.34401,0.29689,0.24307,0.79547,2.475,1.06452,0.000983871,0.000327957,0.000983871,0.000327957,0.000983871,0.000327957,0.000983871,0.000327957
2,133.454,0.8527,2.08869,1.14515,0.77927,0.52568,0.59711,0.48232,0.775,1.32023,1.03374,0.00196423,0.000654744,0.00196423,0.000654744,0.00196423,0.000654744,0.00196423,0.000654744
3,183.109,0.80284,1.47777,1.07776,0.67851,0.55745,0.59969,0.48938,0.74512,1.13504,1.01771,0.00292479,0.00097493,0.00292479,0.00097493,0.00292479,0.00097493,0.00292479,0.00097493
4,232.104,0.78485,1.18786,1.0512,0.76744,0.58181,0.647,0.5291,0.78345,1.02767,1.02495,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,280.62,0.82521,1.05564,1.07284,0.54037,0.57148,0.60173,0.48234,0.83208,1.10305,1.03889,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,328.682,0.78974,0.97404,1.03438,0.69202,0.58917,0.67411,0.55094,0.79588,0.96127,1.0168,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,377.081,0.77794,0.88247,1.04429,0.77661,0.58342,0.65623,0.53793,0.76144,0.87962,1.00545,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,425.217,0.76113,0.78944,1.02475,0.7968,0.54337,0.62128,0.4995,0.7619,0.95631,1.00176,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,472.153,0.754,0.78388,1.01246,0.73563,0.66006,0.71586,0.58673,0.77607,0.89831,1.00782,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,521.24,0.70046,0.71269,0.99243,0.72181,0.64272,0.69608,0.5652,0.78439,0.85104,0.99649,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,570.245,0.71061,0.63245,0.99659,0.82064,0.67142,0.73694,0.60397,0.7803,0.80811,0.99373,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,621.032,0.73514,0.64489,1.01487,0.69489,0.74569,0.74548,0.61362,0.79375,0.86999,1.01753,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,668.248,0.72069,0.64245,1.00983,0.8442,0.63199,0.73213,0.60959,0.78429,0.87414,1.01103,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,715.606,0.69793,0.61978,1.00079,0.91326,0.64713,0.74205,0.62023,0.74001,0.80443,0.99176,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,764.16,0.71371,0.56212,1.00139,0.71819,0.73534,0.75597,0.6319,0.76283,0.80276,0.9995,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,812.138,0.6689,0.56071,0.98477,0.90299,0.64213,0.74302,0.60773,0.77255,0.85899,1.00088,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,860.533,0.66497,0.57047,0.9699,0.65944,0.65916,0.67665,0.54639,0.77653,1.10656,1.01047,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,907.536,0.65495,0.51833,0.97746,0.63886,0.69109,0.65358,0.53426,0.76799,1.00793,0.99565,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,955.321,0.65488,0.55498,0.96668,0.73809,0.68442,0.69814,0.5598,0.77733,0.89431,1.00215,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,1002.62,0.67794,0.51741,0.99843,0.61849,0.74004,0.7312,0.60281,0.76982,0.91805,0.9944,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,1048.3,0.63406,0.50907,0.97436,0.80865,0.615,0.69977,0.56812,0.78202,0.97731,0.99586,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,1095.4,0.64574,0.52304,0.97414,0.83186,0.65306,0.72845,0.59998,0.79132,0.89019,1.00495,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,1143.04,0.63544,0.50683,0.95389,0.83381,0.6501,0.70224,0.57326,0.77119,0.8769,0.9972,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,1187.57,0.61137,0.47669,0.96348,0.87311,0.66844,0.7432,0.62659,0.75518,0.8446,0.99094,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,1232.7,0.61963,0.47603,0.96209,0.82413,0.67081,0.71819,0.60348,0.74095,0.87577,0.98574,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,1278.62,0.59532,0.44668,0.94563,0.65455,0.62184,0.69712,0.59578,0.73473,0.98612,0.97201,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,1326.25,0.5913,0.47679,0.94326,0.90389,0.67987,0.76039,0.64517,0.73161,0.85699,0.97186,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,1375.15,0.59614,0.44922,0.95474,0.87959,0.69163,0.77472,0.64182,0.74899,0.84423,0.97166,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
