epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.6729,0.9951,3.02924,1.24392,0.71856,0.58123,0.64504,0.51507,0.80718,1.61627,1.07337,0.00140595,0.000468651,0.00140595,0.000468651,0.00140595,0.000468651,0.00140595,0.000468651
2,134.639,0.85331,1.4659,1.13909,0.80784,0.70719,0.78645,0.61855,0.78716,0.91195,1.02593,0.00280689,0.000935629,0.00280689,0.000935629,0.00280689,0.000935629,0.00280689,0.000935629
3,183.085,0.82224,1.05279,1.07003,0.7773,0.78211,0.81918,0.65273,0.7865,0.8542,0.97641,0.00417953,0.00139318,0.00417953,0.00139318,0.00417953,0.00139318,0.00417953,0.00139318
4,231.417,0.79618,0.89725,1.02879,0.76392,0.79723,0.81416,0.64704,0.8074,0.82213,0.97079,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,278.181,0.83065,0.82029,1.0449,0.79973,0.78548,0.80425,0.65238,0.8224,0.77386,1.00193,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,326.725,0.80878,0.76479,1.02864,0.88897,0.75215,0.8424,0.68441,0.76055,0.76061,1.00782,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,373.043,0.81655,0.73067,1.05321,0.80449,0.78968,0.85101,0.69127,0.74699,0.67252,0.97181,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,420.811,0.77124,0.65725,1.00643,0.85257,0.8271,0.85684,0.68177,0.78232,0.61238,0.97101,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,467.771,0.78147,0.66713,1.00779,0.83332,0.83984,0.85619,0.6883,0.77093,0.65153,0.97235,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,515.021,0.7512,0.61373,0.99033,0.7747,0.82313,0.82035,0.66076,0.7542,0.67903,0.96354,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
