epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.276,0.89973,2.97442,1.48797,0.75668,0.23375,0.28419,0.23337,0.73283,1.8875,1.27101,0.00109308,0.00036436,0.00109308,0.00036436,0.00109308,0.00036436,0.00109308,0.00036436
2,150.858,0.80034,1.66528,1.34851,0.7264,0.49833,0.55331,0.42749,0.79525,1.1053,1.26281,0.00218262,0.000727541,0.00218262,0.000727541,0.00218262,0.000727541,0.00218262,0.000727541
3,210.363,0.82015,1.23724,1.29615,0.5856,0.68194,0.62005,0.46509,0.79052,0.94033,1.25334,0.00325053,0.00108351,0.00325053,0.00108351,0.00325053,0.00108351,0.00325053,0.00108351
4,275.957,0.78554,1.06243,1.26518,0.64151,0.61746,0.63105,0.47987,0.77944,0.82469,1.22754,0.00323565,0.00107855,0.00323565,0.00107855,0.00323565,0.00107855,0.00323565,0.00107855
5,338.211,0.73212,0.92342,1.25521,0.70841,0.59825,0.65356,0.49158,0.80772,0.78285,1.24288,0.0032032,0.00106773,0.0032032,0.00106773,0.0032032,0.00106773,0.0032032,0.00106773
6,399.787,0.7392,0.87514,1.23159,0.66389,0.6667,0.69786,0.5237,0.78709,0.73322,1.21094,0.00317075,0.00105692,0.00317075,0.00105692,0.00317075,0.00105692,0.00317075,0.00105692
7,461.232,0.73935,0.78993,1.21571,0.70706,0.60594,0.64326,0.47987,0.74261,0.86,1.20586,0.0031383,0.0010461,0.0031383,0.0010461,0.0031383,0.0010461,0.0031383,0.0010461
8,518.873,0.72129,0.72115,1.20828,0.64142,0.56627,0.62541,0.47727,0.77808,0.78669,1.21514,0.00310585,0.00103528,0.00310585,0.00103528,0.00310585,0.00103528,0.00310585,0.00103528
9,577.569,0.70468,0.68979,1.22097,0.66867,0.67669,0.67509,0.5005,0.78685,0.81123,1.21738,0.0030734,0.00102447,0.0030734,0.00102447,0.0030734,0.00102447,0.0030734,0.00102447
10,636.124,0.69603,0.6479,1.19473,0.67438,0.66563,0.66324,0.50837,0.76113,0.81231,1.20831,0.00304095,0.00101365,0.00304095,0.00101365,0.00304095,0.00101365,0.00304095,0.00101365
11,694.922,0.69086,0.64774,1.18372,0.6994,0.65807,0.64011,0.4714,0.80023,0.87789,1.23222,0.0030085,0.00100283,0.0030085,0.00100283,0.0030085,0.00100283,0.0030085,0.00100283
12,752.652,0.67905,0.61708,1.1984,0.79969,0.58399,0.61246,0.47335,0.80677,0.86368,1.23894,0.00297605,0.000992018,0.00297605,0.000992018,0.00297605,0.000992018,0.00297605,0.000992018
13,809.663,0.69704,0.59251,1.18419,0.52475,0.67915,0.63776,0.48632,0.7942,0.86562,1.21431,0.0029436,0.000981201,0.0029436,0.000981201,0.0029436,0.000981201,0.0029436,0.000981201
14,868.156,0.68877,0.58245,1.19956,0.78909,0.61662,0.68688,0.51799,0.79893,0.80414,1.23044,0.00291115,0.000970384,0.00291115,0.000970384,0.00291115,0.000970384,0.00291115,0.000970384
15,926.658,0.64771,0.5139,1.16835,0.72489,0.66414,0.64984,0.48829,0.80478,0.93325,1.22547,0.0028787,0.000959568,0.0028787,0.000959568,0.0028787,0.000959568,0.0028787,0.000959568
16,984.517,0.69099,0.55127,1.20153,0.6517,0.5989,0.63586,0.48986,0.77075,0.8319,1.20802,0.00284625,0.000948751,0.00284625,0.000948751,0.00284625,0.000948751,0.00284625,0.000948751
17,1039.22,0.63968,0.49983,1.16779,0.75714,0.5965,0.6401,0.49026,0.81656,0.86861,1.21821,0.0028138,0.000937935,0.0028138,0.000937935,0.0028138,0.000937935,0.0028138,0.000937935
18,1096.85,0.64668,0.53499,1.15654,0.83013,0.65935,0.73645,0.56523,0.80254,0.81068,1.22082,0.00278135,0.000927118,0.00278135,0.000927118,0.00278135,0.000927118,0.00278135,0.000927118
19,1157.58,0.63335,0.4841,1.15666,0.86398,0.7208,0.75748,0.55875,0.84917,0.84537,1.24246,0.0027489,0.000916301,0.0027489,0.000916301,0.0027489,0.000916301,0.0027489,0.000916301
20,1212.69,0.61933,0.45979,1.15773,0.76318,0.72176,0.72167,0.5534,0.78885,0.85741,1.24232,0.00271645,0.000905485,0.00271645,0.000905485,0.00271645,0.000905485,0.00271645,0.000905485
21,1267.99,0.61247,0.4676,1.16085,0.73165,0.6742,0.69511,0.53118,0.79199,0.97182,1.25086,0.002684,0.000894668,0.002684,0.000894668,0.002684,0.000894668,0.002684,0.000894668
22,1324.68,0.62001,0.46369,1.17468,0.76785,0.67025,0.71103,0.53744,0.75696,0.87245,1.21924,0.00265156,0.000883852,0.00265156,0.000883852,0.00265156,0.000883852,0.00265156,0.000883852
23,1379.67,0.62664,0.49042,1.18659,0.67809,0.70914,0.67315,0.5114,0.79742,0.91929,1.23868,0.00261911,0.000873035,0.00261911,0.000873035,0.00261911,0.000873035,0.00261911,0.000873035
24,1438.08,0.58533,0.43213,1.15014,0.74612,0.76152,0.75929,0.57863,0.84132,0.71751,1.23609,0.00258666,0.000862219,0.00258666,0.000862219,0.00258666,0.000862219,0.00258666,0.000862219
25,1497.83,0.58172,0.43216,1.15435,0.81331,0.63745,0.75128,0.58066,0.82635,0.69659,1.23765,0.00255421,0.000851402,0.00255421,0.000851402,0.00255421,0.000851402,0.00255421,0.000851402
26,1556.74,0.58257,0.42357,1.14119,0.68859,0.76752,0.73,0.55524,0.78044,0.76631,1.2205,0.00252176,0.000840585,0.00252176,0.000840585,0.00252176,0.000840585,0.00252176,0.000840585
27,1611.77,0.58078,0.41575,1.1461,0.68931,0.65891,0.65371,0.50586,0.75915,0.76701,1.19455,0.00248931,0.000829769,0.00248931,0.000829769,0.00248931,0.000829769,0.00248931,0.000829769
28,1665.45,0.57267,0.40961,1.13787,0.7058,0.75872,0.73429,0.57663,0.74141,0.72069,1.19708,0.00245686,0.000818952,0.00245686,0.000818952,0.00245686,0.000818952,0.00245686,0.000818952
29,1721.46,0.57414,0.42048,1.1396,0.88127,0.6897,0.77803,0.62127,0.73161,0.67858,1.18858,0.00242441,0.000808136,0.00242441,0.000808136,0.00242441,0.000808136,0.00242441,0.000808136
30,1778.58,0.56385,0.39472,1.12146,0.87562,0.66021,0.78807,0.63268,0.76759,0.68464,1.20726,0.00239196,0.000797319,0.00239196,0.000797319,0.00239196,0.000797319,0.00239196,0.000797319
31,1836.25,0.55733,0.41078,1.12601,0.82866,0.68303,0.78144,0.59789,0.78011,0.68599,1.18742,0.00235951,0.000786502,0.00235951,0.000786502,0.00235951,0.000786502,0.00235951,0.000786502
32,1893.59,0.56252,0.39458,1.11483,0.85712,0.65645,0.77416,0.57079,0.73354,0.68647,1.18948,0.00232706,0.000775686,0.00232706,0.000775686,0.00232706,0.000775686,0.00232706,0.000775686
33,1949.18,0.53769,0.37511,1.11264,0.72687,0.68842,0.73254,0.56353,0.77835,0.76161,1.19268,0.00229461,0.000764869,0.00229461,0.000764869,0.00229461,0.000764869,0.00229461,0.000764869
34,2007.49,0.53857,0.38598,1.11693,0.75707,0.61693,0.72329,0.55819,0.76156,0.76924,1.20454,0.00226216,0.000754053,0.00226216,0.000754053,0.00226216,0.000754053,0.00226216,0.000754053
35,2063.18,0.50767,0.34789,1.10194,0.81382,0.61138,0.69201,0.53118,0.74378,0.80143,1.20879,0.00222971,0.000743236,0.00222971,0.000743236,0.00222971,0.000743236,0.00222971,0.000743236
36,2117.48,0.51364,0.34629,1.11299,0.76776,0.62684,0.71695,0.54102,0.73667,0.83469,1.20242,0.00219726,0.00073242,0.00219726,0.00073242,0.00219726,0.00073242,0.00219726,0.00073242
37,2171.88,0.51055,0.34358,1.1274,0.75358,0.79266,0.79798,0.61192,0.75449,0.79998,1.19262,0.00216481,0.000721603,0.00216481,0.000721603,0.00216481,0.000721603,0.00216481,0.000721603
38,2225.09,0.52057,0.37243,1.10619,0.73112,0.77405,0.79789,0.63467,0.77473,0.82768,1.19523,0.00213236,0.000710786,0.00213236,0.000710786,0.00213236,0.000710786,0.00213236,0.000710786
39,2284.61,0.50115,0.35102,1.07963,0.76789,0.73521,0.80412,0.65947,0.72492,0.71599,1.17427,0.00209991,0.00069997,0.00209991,0.00069997,0.00209991,0.00069997,0.00209991,0.00069997
40,2341.7,0.48478,0.33285,1.09784,0.75211,0.77609,0.76769,0.59366,0.75143,0.75625,1.18206,0.00206746,0.000689153,0.00206746,0.000689153,0.00206746,0.000689153,0.00206746,0.000689153
41,2395.97,0.51831,0.36503,1.10819,0.82542,0.76687,0.78528,0.60448,0.71654,0.68424,1.17124,0.00203501,0.000678337,0.00203501,0.000678337,0.00203501,0.000678337,0.00203501,0.000678337
42,2451.42,0.4828,0.34395,1.09334,0.79868,0.65496,0.7405,0.59656,0.74455,0.74726,1.19351,0.00200256,0.00066752,0.00200256,0.00066752,0.00200256,0.00066752,0.00200256,0.00066752
43,2506.59,0.47208,0.33678,1.07159,0.73761,0.64448,0.7333,0.58379,0.72337,0.86827,1.18984,0.00197011,0.000656703,0.00197011,0.000656703,0.00197011,0.000656703,0.00197011,0.000656703
44,2561.68,0.47746,0.33116,1.08751,0.75117,0.6955,0.71495,0.55501,0.76062,0.74179,1.21646,0.00193766,0.000645887,0.00193766,0.000645887,0.00193766,0.000645887,0.00193766,0.000645887
45,2615.7,0.49227,0.33531,1.10592,0.73507,0.76849,0.76697,0.58259,0.75926,0.69424,1.22857,0.00190521,0.00063507,0.00190521,0.00063507,0.00190521,0.00063507,0.00190521,0.00063507
