fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.1462,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.05007,0.01,0.01,0.88961,0.001,2.9927,0.83482,8.57425,0.50147,1.49862,0.00301,0.66517,0.39682,0.00441,0.09756,0.67602,0.00446,0.001,0.0,0.65272,0.00216,0.93725,0.0,0.0053,0.01568,10
0.1055,0.01,0.01,0.93904,0.00063,2.99459,0.78772,8.35498,0.50383,1.67177,0.01172,0.75781,0.4262,0.00136,0.09912,0.5008,0.00294,0.001,0.0,0.39552,0.0,0.92872,0.0,0.0058,0.0,10
0.11542,0.01,0.02019,0.9367,0.0,2.8317,0.80036,8.32588,0.55636,1.96899,0.01626,0.69297,0.40755,0.00778,0.09713,0.52266,0.01011,0.0,0.00733,0.49502,0.00105,0.81623,0.0125,0.00016,0.0,10
0.08597,0.01,0.01959,0.98,0.00061,3.14748,0.95,7.47261,0.50921,1.52074,0.0138,0.69309,0.39936,0.00045,0.10663,0.42441,0.0,0.001,0.01308,0.50084,0.00064,1.0,0.00204,0.0001,0.0,10
0.08,0.01,0.01199,0.89466,0.0006,3.6282,0.78588,8.07529,0.50407,1.83235,0.01251,0.62393,0.37434,0.0,0.09978,0.64511,0.0031,0.001,0.0,0.39941,0.00694,0.97369,0.0,0.00483,0.0,8
0.1895,0.00675,0.02092,0.93649,0.00063,2.90569,0.78912,8.72808,0.46069,1.30396,0.01552,0.74988,0.54724,0.00591,0.12048,0.49615,0.00381,0.00071,0.00381,0.42005,0.0,0.85172,0.00936,0.00319,0.0,9
0.13262,0.00762,0.01221,0.98,0.00031,3.26993,0.68354,9.40271,0.46525,1.83447,0.01398,0.69538,0.39326,0.00122,0.10488,0.67704,0.012,0.001,0.00013,0.50702,0.00082,0.9004,0.00202,0.0,5e-05,10
0.12335,0.0082,0.01721,0.92568,0.00027,3.21842,0.63574,8.60921,0.50283,1.28362,0.01428,0.9,0.55498,0.00637,0.12106,0.37775,0.0,0.00029,0.01322,0.40521,0.00048,0.88061,0.0,0.0,0.0,10
0.16307,0.00744,0.01,0.9314,0.0,3.19467,0.95,8.96841,0.41259,1.58538,0.01614,0.70725,0.57923,5e-05,0.11515,0.69076,0.00517,0.00044,0.00652,0.37881,0.0,0.92929,0.0053,0.0,6e-05,9
0.11175,0.01,0.01418,0.96155,0.00044,3.39006,0.63085,8.39595,0.45337,1.51218,0.01324,0.9,0.61633,0.0,0.10816,0.73374,0.0,0.00039,0.01568,0.50605,0.00097,0.95937,0.00681,0.00345,5e-05,10
0.16069,0.0083,0.01611,0.98,0.00061,3.32476,0.77981,9.27729,0.39013,1.75186,0.01596,0.68263,0.66769,0.0,0.07576,0.32351,0.00331,0.00019,0.01929,0.50351,0.0,1.0,0.00812,0.0,6e-05,10
0.08266,0.01,0.02195,0.96465,0.00028,3.39195,0.54904,9.30662,0.30302,1.75723,0.01412,0.9,0.43799,0.0,0.06353,0.38257,0.00521,0.00097,0.00161,0.47234,5e-05,0.87193,0.00132,0.00461,0.0,8
0.13769,0.00919,0.01915,0.97282,0.00075,3.47178,0.84496,7.31493,0.3311,1.72824,0.01505,0.9,0.5245,0.00333,0.1048,0.70479,0.00346,0.00053,0.01204,0.44084,0.00051,0.9059,0.0071,0.0,0.0,10
0.20042,0.00802,0.02641,0.93421,0.0,3.46621,0.95,7.20515,0.43266,1.80445,0.01423,0.87705,0.57758,0.00645,0.10698,0.4845,0.00244,0.0,0.01286,0.40855,0.00018,0.94858,0.00376,0.00337,6e-05,9
