{'ImageID': 7, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 9, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 14, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 19, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 29, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 30, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 33, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 43, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 44, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 45, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 46, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 51, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 52, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 57, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 59, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 63, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 79, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 94, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 106, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 112, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 131, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 150, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 152, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 157, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 159, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 162, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 171, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 172, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 187, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 189, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 195, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 199, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 203, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 217, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 218, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 225, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 235, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 237, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 251, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 253, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 256, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 265, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 293, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 306, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 315, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 319, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 335, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 343, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 350, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 351, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 356, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 362, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 365, 'DetectedSigns': 0, 'Labels': []}
