epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8791,1.1469,26.8218,0.7458,0.01517,0.08703,0.02373,0.01551,0.32428,2.72643,0.22926,0.0003,0.0003,0.0003
2,148.212,0.44496,1.84369,0.24816,0.78706,0.13916,0.11316,0.08015,0.38946,1.81196,0.26142,0.000603961,0.000603961,0.000603961
3,210.55,0.44977,1.03812,0.2409,0.86335,0.09036,0.09363,0.08019,nan,nan,nan,0.000901784,0.000901784,0.000901784
4,278.58,0.38321,0.79966,0.20114,0.74946,0.32463,0.31366,0.23883,0.40355,0.83336,0.33864,0.0009703,0.0009703,0.0009703
5,340.554,0.35794,0.68,0.19781,0.47605,0.31193,0.30965,0.25058,0.35021,0.96915,0.19343,0.0009604,0.0009604,0.0009604
6,405.335,0.37159,0.69971,0.18273,0.75711,0.38918,0.32369,0.24811,0.32074,0.98906,0.16258,0.0009505,0.0009505,0.0009505
7,465.169,0.35885,0.63489,0.17165,0.81584,0.42564,0.43391,0.34732,0.39046,0.68462,0.26878,0.0009406,0.0009406,0.0009406
8,530.602,0.34818,0.59351,0.1869,0.59082,0.46209,0.41208,0.33309,0.32813,1.04125,0.15213,0.0009307,0.0009307,0.0009307
9,589.358,0.34061,0.61461,0.16989,0.59128,0.50292,0.55605,0.46125,0.33468,0.89059,0.14322,0.0009208,0.0009208,0.0009208
10,652.233,0.33514,0.60026,0.16426,0.69658,0.44602,0.43489,0.33638,0.28241,0.75929,0.13694,0.0009109,0.0009109,0.0009109
11,715.631,0.32729,0.59666,0.15965,0.79177,0.58449,0.57923,0.48011,0.31773,0.80765,0.13428,0.000901,0.000901,0.000901
12,781.658,0.31073,0.52808,0.15198,0.6863,0.65432,0.61471,0.50508,0.29881,0.60199,0.11586,0.0008911,0.0008911,0.0008911
13,844.398,0.3185,0.57361,0.1574,0.66787,0.55464,0.63706,0.50589,0.29933,0.6249,0.12158,0.0008812,0.0008812,0.0008812
14,912.413,0.32363,0.54507,0.15193,0.67136,0.67195,0.67148,0.54336,0.32093,0.65632,0.14751,0.0008713,0.0008713,0.0008713
15,981.117,0.32941,0.52301,0.15693,0.64281,0.62954,0.54429,0.44296,0.32428,0.68811,0.13723,0.0008614,0.0008614,0.0008614
16,1045.96,0.29162,0.53165,0.14679,0.72463,0.48991,0.48403,0.40885,0.29931,0.81975,0.12269,0.0008515,0.0008515,0.0008515
17,1105.49,0.2875,0.50217,0.14171,0.72434,0.60722,0.60553,0.49908,0.31342,0.64987,0.13363,0.0008416,0.0008416,0.0008416
18,1167.84,0.28014,0.46044,0.12626,0.76522,0.64641,0.6798,0.56469,0.28667,0.56945,0.11712,0.0008317,0.0008317,0.0008317
19,1230.25,0.27894,0.47559,0.14432,0.50681,0.62148,0.59835,0.50278,0.2666,0.68193,0.11559,0.0008218,0.0008218,0.0008218
20,1292.46,0.27356,0.47778,0.13415,0.76424,0.54882,0.61247,0.49886,0.33106,0.6483,0.15453,0.0008119,0.0008119,0.0008119
21,1352.23,0.2841,0.45496,0.15017,0.7052,0.61749,0.60933,0.51861,0.29666,0.67901,0.12104,0.000802,0.000802,0.000802
22,1413.54,0.29852,0.4821,0.14514,0.7637,0.59084,0.66003,0.55114,0.29997,0.70671,0.13115,0.0007921,0.0007921,0.0007921
23,1475.41,0.30905,0.47446,0.14557,0.73286,0.69641,0.66967,0.55634,0.27363,0.58102,0.1221,0.0007822,0.0007822,0.0007822
24,1537.59,0.28228,0.45883,0.14788,0.79319,0.61955,0.69287,0.57439,0.29661,0.70691,0.12014,0.0007723,0.0007723,0.0007723
25,1603.53,0.27203,0.46873,0.12458,0.75538,0.59826,0.62704,0.536,0.28829,0.66894,0.11544,0.0007624,0.0007624,0.0007624
26,1664.76,0.27278,0.48275,0.12462,0.78694,0.5997,0.68729,0.56818,0.27734,0.8037,0.11982,0.0007525,0.0007525,0.0007525
27,1725.7,0.26289,0.43084,0.11618,0.83778,0.69574,0.69904,0.56852,0.2873,0.68799,0.12626,0.0007426,0.0007426,0.0007426
28,1788.1,0.26088,0.44483,0.13004,0.74211,0.67897,0.66284,0.54567,0.29891,0.71025,0.12458,0.0007327,0.0007327,0.0007327
29,1852.01,0.27289,0.41679,0.11835,0.84842,0.66786,0.69892,0.57414,0.29403,0.62533,0.11823,0.0007228,0.0007228,0.0007228
30,1911.89,0.25911,0.41214,0.12391,0.86946,0.68267,0.70731,0.5752,0.31518,0.65247,0.13893,0.0007129,0.0007129,0.0007129
31,1978.1,0.26554,0.38922,0.12389,0.76152,0.59416,0.5959,0.50146,0.28185,0.62863,0.1198,0.000703,0.000703,0.000703
32,2041.86,0.25393,0.40686,0.12581,0.70831,0.61448,0.63728,0.52685,0.28577,0.7376,0.12469,0.0006931,0.0006931,0.0006931
33,2102.16,0.27185,0.41184,0.12083,0.72641,0.67012,0.64999,0.52788,0.28935,0.87743,0.11333,0.0006832,0.0006832,0.0006832
34,2165.08,0.24814,0.40571,0.11664,0.85652,0.68197,0.67436,0.55514,0.28311,0.69067,0.1281,0.0006733,0.0006733,0.0006733
35,2226.93,0.25881,0.38152,0.1148,0.87761,0.72712,0.77026,0.62626,0.28827,0.54687,0.11951,0.0006634,0.0006634,0.0006634
36,2292.87,0.24722,0.36685,0.11331,0.76638,0.7347,0.72299,0.60619,0.29251,0.61551,0.12688,0.0006535,0.0006535,0.0006535
