epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.246,1.42303,22.1065,0.86719,0.1735,0.09323,0.03159,0.01544,1.24333,30.4377,0.63863,0.0012861,0.0004287,0.0012861,0.0004287,0.0012861,0.0004287,0.0012861,0.0004287
2,169.502,1.14809,11.3094,0.65491,0.26335,0.14335,0.06909,0.04378,1.2075,10.2848,0.62948,0.00258918,0.00086306,0.00258918,0.00086306,0.00258918,0.00086306,0.00258918,0.00086306
3,235.719,0.76445,3.59957,0.39218,0.29782,0.13859,0.09936,0.07105,0.91998,2.50629,0.37261,0.00386595,0.00128865,0.00386595,0.00128865,0.00386595,0.00128865,0.00386595,0.00128865
4,299.87,0.47221,1.40833,0.22679,0.24057,0.18319,0.13648,0.09511,0.34107,1.25677,0.15148,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,363.237,0.37628,1.01667,0.19519,0.28271,0.28011,0.19267,0.13697,0.32861,0.95003,0.15913,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,430.55,0.36901,0.8771,0.17022,0.29895,0.35469,0.22024,0.1626,0.32273,0.81141,0.16996,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,497.174,0.34595,0.82241,0.1524,0.70098,0.3628,0.27345,0.2046,0.2824,0.76123,0.11125,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,561.687,0.34887,0.72284,0.17338,0.33415,0.41214,0.31076,0.2392,0.26588,0.7055,0.10537,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,625.915,0.32593,0.6984,0.16291,0.36834,0.40619,0.2991,0.23079,0.25502,0.67466,0.09912,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,691.846,0.32755,0.6865,0.15118,0.3868,0.42941,0.3386,0.25854,0.24133,0.64332,0.09169,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
