epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9095,1.2273,3.80008,1.20721,0.70256,0.30647,0.28687,0.20754,1.28316,8.71279,1.20804,0.000327957,0.000327957,0.000327957
2,109.209,1.34557,2.54543,1.27404,0.54082,0.31856,0.23596,0.16872,1.4527,4.38468,1.38062,0.00065485,0.00065485,0.00065485
3,153.818,1.41723,2.39909,1.32191,0.44079,0.1183,0.09327,0.05789,2.13456,13.0163,1.92692,0.000975251,0.000975251,0.000975251
4,199.399,1.4832,2.27078,1.3687,0.31209,0.19774,0.08369,0.04418,1.88761,16.925,1.75558,0.000970783,0.000970783,0.000970783
5,244.387,1.50598,2.27078,1.37062,0.57351,0.2511,0.18599,0.12036,1.53591,5.57331,1.51164,0.000961044,0.000961044,0.000961044
6,290.633,1.51301,2.26183,1.39367,0.43514,0.28937,0.21086,0.14024,1.75632,4.50071,1.66113,0.000951305,0.000951305,0.000951305
7,334.378,1.4656,2.1434,1.34581,0.66755,0.30656,0.38379,0.27868,1.57192,2.79986,1.40877,0.000941567,0.000941567,0.000941567
8,379.298,1.43341,1.95915,1.30997,0.70829,0.24925,0.28022,0.20792,1.45198,2.9217,1.39622,0.000931828,0.000931828,0.000931828
9,424.316,1.36631,1.96487,1.32171,0.81891,0.27995,0.37631,0.27256,1.46662,2.45863,1.37672,0.000922089,0.000922089,0.000922089
10,469.297,1.35739,1.83595,1.30327,0.52718,0.48067,0.41911,0.29316,1.40489,2.24989,1.29596,0.00091235,0.00091235,0.00091235
11,513.841,1.35069,1.80491,1.29113,0.80059,0.4563,0.51695,0.39224,1.24661,2.15079,1.22373,0.000902611,0.000902611,0.000902611
12,558.606,1.33023,1.70912,1.30815,0.86379,0.46358,0.57262,0.4383,1.28442,1.70629,1.29789,0.000892872,0.000892872,0.000892872
13,602.33,1.33261,1.64793,1.26613,0.45809,0.47459,0.49935,0.37816,1.33071,2.6798,1.27183,0.000883133,0.000883133,0.000883133
14,647.91,1.32288,1.61567,1.26582,0.66543,0.41862,0.49276,0.39016,1.23849,1.75196,1.23113,0.000873394,0.000873394,0.000873394
15,691.584,1.27058,1.57163,1.26297,0.73716,0.52845,0.57962,0.4418,1.2341,1.73927,1.20522,0.000863655,0.000863655,0.000863655
16,745.798,1.21647,1.48408,1.22688,0.42935,0.40673,0.4558,0.33419,1.28132,1.78346,1.20938,0.000853916,0.000853916,0.000853916
17,789.867,1.19543,1.47779,1.20159,0.83658,0.50171,0.57688,0.44406,1.17046,1.76095,1.16392,0.000844178,0.000844178,0.000844178
18,840.292,1.19623,1.40764,1.20241,0.84691,0.43579,0.55182,0.42498,1.15712,1.74651,1.1652,0.000834439,0.000834439,0.000834439
19,884.75,1.17621,1.40393,1.20695,0.59786,0.48743,0.48512,0.37049,1.21207,1.89145,1.2008,0.0008247,0.0008247,0.0008247
20,930.825,1.20755,1.44308,1.20464,0.52363,0.38352,0.4258,0.30635,1.43286,2.06354,1.31783,0.000814961,0.000814961,0.000814961
21,975.932,1.14285,1.34618,1.20056,0.71949,0.45845,0.51526,0.39444,1.19709,1.70731,1.20007,0.000805222,0.000805222,0.000805222
