fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.21553,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.16796,0.01,0.01588,0.98,0.0,2.74459,0.80874,8.03378,0.45676,1.31258,0.01029,0.70138,0.31482,0.01604,0.09603,0.8046,0.0,0.0,0.00873,0.50072,0.00464,0.72384,0.00865,0.00129,0.0,10
0.2251,0.01,0.01,0.9273,0.001,2.98525,0.78908,9.33184,0.72599,1.18552,0.01958,0.58167,0.40765,0.0,0.09581,0.51843,0.0,0.0,0.0,0.49495,0.0,0.99865,0.00186,0.00601,0.00649,10
0.13407,0.01,0.01,0.92692,0.001,2.9963,0.94707,8.79857,0.71056,1.18026,0.01597,0.77322,0.40164,0.0,0.1036,0.39681,0.00239,0.001,0.00192,0.49752,0.0,1.0,4e-05,0.00381,0.0,10
0.43675,1e-05,0.02611,0.98,0.00062,3.04233,0.82756,9.292,0.60056,1.5383,0.0204,0.66103,0.32493,0.0,0.15536,0.46187,0.0,0.0,0.00347,0.49456,0.00474,1.0,0.00493,0.00499,0.00344,10
0.35493,0.00258,0.01127,0.95452,0.00021,2.89679,0.82294,7.8491,0.52427,1.57172,0.01772,0.70806,0.40998,0.01669,0.08769,0.80067,0.00821,0.00012,0.00247,0.5122,0.00423,0.70444,0.00122,0.00722,0.00273,10
0.20627,0.00652,0.02096,0.91805,0.001,3.04447,0.80492,8.3046,0.74846,1.5498,0.0194,0.69442,0.36934,0.01571,0.18018,0.85016,0.00064,0.00012,0.00394,0.51145,0.00476,0.92751,0.00179,0.00544,0.00669,10
0.07881,0.01,0.02134,0.85152,0.00065,3.07955,0.8243,8.9699,0.55542,1.46078,0.01243,0.9,0.35161,0.00681,0.08469,0.81514,0.00307,0.0,0.00334,0.50857,0.00508,0.64372,0.00765,0.00362,0.00157,10
0.21874,0.00948,0.01208,0.97295,0.00033,2.99658,0.67489,7.63659,0.73313,1.2102,0.01362,0.86689,0.40278,0.01613,0.08687,0.53866,0.00744,0.0,0.00768,0.51099,0.00214,0.75275,0.00895,0.0069,0.00026,10
0.21946,0.00892,0.01215,0.92761,0.00042,3.05311,0.65888,8.169,0.69881,1.43331,0.01366,0.9,0.40411,0.00771,0.0931,0.47514,0.00125,0.001,0.0073,0.49514,0.00344,0.93711,0.0,0.00241,0.002,10
0.21474,0.00962,0.01062,0.91491,0.00081,3.02788,0.67034,7.99036,0.54365,1.56242,0.01762,0.9,0.38856,0.0086,0.27712,0.54171,0.0,0.0,1e-05,0.50313,0.00469,0.90686,0.00538,9e-05,0.00527,10
0.16281,0.00825,0.01666,0.92112,0.001,2.39744,0.58256,9.67505,0.56516,0.83922,0.01519,0.9,0.44346,0.0109,0.08239,0.51967,0.00368,3e-05,0.00471,0.50292,0.00223,1.0,0.0043,0.00178,0.00283,10
0.27775,0.0048,0.02582,0.96032,0.00032,2.9414,0.79765,9.0613,0.53596,1.53518,0.01744,0.65374,0.38467,0.00745,0.19841,0.53974,0.0,0.0,0.0,0.49812,0.00424,0.9306,0.00925,0.0,0.00082,10
0.0906,0.01,0.0213,0.98,0.00039,2.94121,0.6598,9.04794,0.80161,1.10405,0.01847,0.86299,0.39277,0.00268,0.14529,0.62897,0.00818,0.001,0.00743,0.51523,0.00323,1.0,0.00776,0.00526,0.00137,10
0.39477,1e-05,0.02524,0.94869,0.00032,2.92253,0.7338,7.64958,0.72071,1.9081,0.01752,0.63701,0.32904,0.00194,0.09051,0.82931,0.00339,0.001,0.00419,0.51073,0.00419,0.83793,0.00146,0.00795,0.00221,10
